2026-03-26 15:50:01 $2075.48
2026-03-26 15:50:21 $2074.72
2026-03-26 15:50:41 $2074.72
2026-03-26 15:51:02 $2074.72
2026-03-26 15:51:22 $2074.71
2026-03-26 15:51:42 $2074.71
2026-03-26 15:52:02 $2074.71
2026-03-26 15:52:22 $2074.79
2026-03-26 15:52:42 $2074.79
2026-03-26 15:53:02 $2074.79
2026-03-26 15:53:22 $2074.49
2026-03-26 15:53:43 $2074.49
2026-03-26 16:11:21 $2068.81
2026-03-26 16:11:41 $2068.81
2026-03-26 17:01:13 $2069.43
2026-03-26 17:01:33 $2068.9
2026-03-26 17:22:13 $2067.52
2026-03-26 17:22:28 $2067.2
2026-03-26 17:24:26 $2065.93
2026-03-26 17:24:46 $2065.93
2026-03-26 17:25:07 $2065.93
2026-03-26 17:25:27 $2067.04
2026-03-26 17:25:47 $2067.04
2026-03-26 17:26:07 $2067.04
2026-03-26 17:26:27 $2066.98
2026-03-26 17:26:47 $2066.98
2026-03-26 20:57:02 $2049.34
2026-03-26 20:57:23 $2049.34
2026-03-26 20:57:43 $2049.34
2026-03-26 20:58:03 $2049.58
2026-03-26 20:58:23 $2049.58
2026-03-26 20:58:43 $2049.58
2026-03-26 20:59:03 $2049.49
2026-03-26 21:01:02 $2047.99
2026-03-27 11:10:05 $2040.41
2026-03-27 11:10:08 $2040.73
2026-03-27 11:12:45 $2039.67
2026-03-27 11:14:15 $2040.1
2026-03-31 20:59:23 $2095.75
